"Abbreviation"	"Meaning"	"Example"
0	"impersonal"	"canwyd"
1s	"1st person singular"	
2s	"2nd person singular"	
3s	"3rd person singular"	
1p	"1st person plural"	
2p	"2nd person plural"	
3p	"3rd person plural"	
"ADJ"	"adjective"	
"ADJ.COMP"	"comparative adjective"	"mejor"
"ADJ.DEM"	"demonstrative adjective"	"estos"
"ADJ.INT"	"interrogative adjective"	"cuánto"
"ADJ.POSS"	"possessive adjective"	"mi"
"ADJ.REL"	"relative adjective"	"cuyas"
"ADJ.SUP"	"superlative adjective"	"bellísima"
"ADV"	"adverb"	
"AG"	"agentive"	"worker"
"AM"	"aspirate mutation"	
"AS"	"adjective or singular noun"	
"ASV"	"adjective or singular noun or verb"	
"AV"	"adjective or verb"	
"COND"	"conditional/habitual past"	
"CONJ"	"conjunction"	"porque, que"
"DEM.FAR"	"far demonstrative"	"that"
"DEM.NEAR"	"near demonstrative"	"this"
"DEM.VFAR"	"very far demonstrative"	"yonder"
"DET "	"determiner"	
"DET.DEF"	"definite article"	"el"
"DET.INDEF"	"indefinite article"	"un"
"DIM"	"diminutive"	"pobrecito"
"F "	"feminine "	
"FUT"	"future"	
"GER"	"gerund"	
"IM"	"interactional marker/exclamation"	
"IMPER"	"imperative"	
"IMPERF"	"imperfect"	
"IMPERS"	"impersonal"	
"INFIN"	"infinitive"	
"INT"	"interrogative"	"quién"
"M"	"masculine"	
"MF"	"masculine or feminine"	
"N"	"noun"	
"NEG"	"negative "	
"NEG"	"negative"	"not"
"NM"	"nasal mutation"	
"NONFIN"	"nonfinite "	
"NONPAST"	"nonpast tense"	
"NT"	"neuter"	
"NUM"	"numeral"	"three"
"ORD"	"ordinal"	"séptima"
"PAST"	"past tense"	
"PAST+P"	"past tense or past participle"	
"PASTPART"	"past participle"	
"PL"	"plural"	
"PLUPERF"	"pluperfect"	
"POLITE"	"polite"	
"POSS"	"possessive"	
"POT"	"potential"	"treatable"
"PRECLITIC"	"preclitic"	
"PREP"	"preposition"	
"PREP+DET.DEF"	"preposition+definite article"	"del"
"PREP+PRON"	"preposition+pronoun"	"conmigo"
"PRES"	"present tense"	
"PRESPART"	"present participle"	
"PRON"	"pronoun "	
"PRON.DEM"	"demonstrative pronoun"	"estos"
"PRON.INDIR"	"indirect pronoun"	"le"
"PRON.INT"	"interrogative pronoun"	"cuánto"
"PRON.OBJ"	"object pronoun"	"lo"
"PRON.OBL"	"oblique pronoun"	"me" - can be direct, indirect, or reflexive
"PRON.POSS"	"possessive pronoun"	"mío"
"PRON.PREP"	"prepositional pronoun"	"mí" - used after a preposition
"PRON.REFL"	"reflexive pronoun"	"se"
"PRON.REL"	"relative pronoun"	"cual"
"PRON.SUB"	"subject pronoun"	"yo"
"PRT"	"particle"	
"REL"	"relative"	
"SG"	"singular"	
"SM"	"soft mutation"	
"SP"	"singular or plural"	
"STAT"	"stative"	"yn"
"SUBJ"	"subjunctive"	
"SUBJ.FUT"	"future subjunctive"	
"SUBJ.IMPERF"	"imperfect subjunctive"	
"SUBJ.PAST"	"past subjunctive"	
"SUBJ.PRES"	"present subjunctive"	
"SV"	"singular noun or verb"	
"V"	"verb"	
"VULG"	"vulgar"	

