"surface","pos"
"ah","i"
"ahh","i"
"band","n"
"bass","n"
"basses","n"
"bity","n"
"blue","a"
"bound","a"
"boy","n"
"broblem","n"
"car","n"
"case","n"
"caster","n"
"chutneys","n"
"clarinet","n"
"crew","n"
"dad","n"
"dear","a"
"disco","n"
"does","v"
"dop","n"
"drain","n"
"drombone","n"
"drummer","n"
"drums","n"
"duh","i"
"er","i"
"fam","n"
"fancy","n"
"fargain","n"
"fass","n"
"film","n"
"foy","n"
"gaster","n"
"gig","n"
"great","a"
"guitar","n"
"ha","i"
"hey","i"
"hmm","i"
"huh","i"
"ideal","a"
"jazz","n"
"job","n"
"just","b"
"lot","n"
"mam","n"
"melody","n"
"mmhm","i"
"mmm","i"
"nice","a"
"oh","i"
"ooh","i"
"party","n"
"person","n"
"phew","i"
"phone","n"
"piano","n"
"pocket","n"
"quite","q"
"rhythmic","a"
"right","a"
"round","a"
"routine","n"
"rugby","n"
"sesh","n"
"set","n"
"so","q"
"sorry","b"
"staff","n"
"story","n"
"straight","a"
"stuff","n"
"style","n"
"sure","a"
"task","n"
"trad","a"
"trombone","n"
"tune","n"
"um","i"
"video","n"
"vinegar","n"
"virus","n"
"well","i"
"wow","i"
"yeah","i"
"yep","i"
"rich","a"
"and","c"
"come","v"
"actually","b"
"gosh","i"
"been","v"
"done","v"
"up","b"
"get","v"
"grip","v"
"really","b"
"because","c"
"there","b"
"snog","v"
"impressed","a"
"pressure","n"
"a","t"
"lovely","a"
"to","pos"
"fill","v"
"anyway","b"
"that","d"
"on","pos"
"shivery","a"
"grim","a"
"date","n"
